Product_Supermarket_Identifier,Product_Supermarket_Sales
DRH36_CHUKWUDI045,100
DRH36_CHUKWUDI046,100
DRH39_CHUKWUDI017,100
DRH39_CHUKWUDI019,100
DRH39_CHUKWUDI027,100
DRH39_CHUKWUDI046,100
DRH39_CHUKWUDI049,100
DRH49_CHUKWUDI018,100
DRH49_CHUKWUDI019,100
DRH49_CHUKWUDI046,100
DRH51_CHUKWUDI019,100
DRH51_CHUKWUDI027,100
DRH51_CHUKWUDI035,100
DRH51_CHUKWUDI049,100
DRH59_CHUKWUDI046,100
DRH59_CHUKWUDI049,100
DRI01_CHUKWUDI013,100
DRI03_CHUKWUDI013,100
DRI11_CHUKWUDI027,100
DRI11_CHUKWUDI035,100
DRI11_CHUKWUDI045,100
DRI13_CHUKWUDI013,100
DRI13_CHUKWUDI018,100
DRI13_CHUKWUDI046,100
DRI25_CHUKWUDI017,100
DRI25_CHUKWUDI027,100
DRI25_CHUKWUDI045,100
DRI25_CHUKWUDI046,100
DRI25_CHUKWUDI049,100
DRI37_CHUKWUDI017,100
DRI37_CHUKWUDI018,100
DRI37_CHUKWUDI027,100
DRI37_CHUKWUDI046,100
DRI37_CHUKWUDI049,100
DRI39_CHUKWUDI017,100
DRI39_CHUKWUDI018,100
DRI39_CHUKWUDI027,100
DRI39_CHUKWUDI035,100
DRI49_CHUKWUDI018,100
DRI49_CHUKWUDI035,100
DRI49_CHUKWUDI045,100
DRI49_CHUKWUDI046,100
DRJ11_CHUKWUDI010,100
DRJ11_CHUKWUDI013,100
DRJ23_CHUKWUDI010,100
DRJ23_CHUKWUDI013,100
DRJ24_CHUKWUDI010,100
DRJ24_CHUKWUDI013,100
DRJ25_CHUKWUDI017,100
DRJ25_CHUKWUDI018,100
DRJ25_CHUKWUDI045,100
DRJ25_CHUKWUDI049,100
DRJ35_CHUKWUDI017,100
DRJ35_CHUKWUDI046,100
DRJ39_CHUKWUDI013,100
DRJ39_CHUKWUDI018,100
DRJ39_CHUKWUDI046,100
DRJ47_CHUKWUDI013,100
DRJ49_CHUKWUDI045,100
DRJ51_CHUKWUDI013,100
DRJ51_CHUKWUDI049,100
DRJ59_CHUKWUDI027,100
DRJ59_CHUKWUDI045,100
DRJ59_CHUKWUDI046,100
DRJ59_CHUKWUDI049,100
DRK01_CHUKWUDI017,100
DRK01_CHUKWUDI018,100
DRK01_CHUKWUDI035,100
DRK01_CHUKWUDI045,100
DRK12_CHUKWUDI017,100
DRK12_CHUKWUDI018,100
DRK12_CHUKWUDI027,100
DRK12_CHUKWUDI035,100
DRK12_CHUKWUDI045,100
DRK12_CHUKWUDI049,100
DRK13_CHUKWUDI013,100
DRK13_CHUKWUDI046,100
DRK23_CHUKWUDI013,100
DRK23_CHUKWUDI018,100
DRK23_CHUKWUDI049,100
DRK35_CHUKWUDI017,100
DRK35_CHUKWUDI019,100
DRK35_CHUKWUDI027,100
DRK35_CHUKWUDI035,100
DRK35_CHUKWUDI045,100
DRK35_CHUKWUDI046,100
DRK35_CHUKWUDI049,100
DRK37_CHUKWUDI010,100
DRK39_CHUKWUDI017,100
DRK39_CHUKWUDI027,100
DRK39_CHUKWUDI046,100
DRK39_CHUKWUDI049,100
DRK47_CHUKWUDI013,100
DRK47_CHUKWUDI018,100
DRK47_CHUKWUDI046,100
DRK47_CHUKWUDI049,100
DRK49_CHUKWUDI017,100
DRK49_CHUKWUDI019,100
DRK49_CHUKWUDI027,100
DRK49_CHUKWUDI035,100
DRK49_CHUKWUDI046,100
DRK49_CHUKWUDI049,100
DRK59_CHUKWUDI010,100
DRK59_CHUKWUDI018,100
DRL01_CHUKWUDI010,100
DRL01_CHUKWUDI013,100
DRL01_CHUKWUDI049,100
DRL23_CHUKWUDI035,100
DRL23_CHUKWUDI045,100
DRL35_CHUKWUDI017,100
DRL35_CHUKWUDI027,100
DRL35_CHUKWUDI035,100
DRL35_CHUKWUDI045,100
DRL35_CHUKWUDI049,100
DRL37_CHUKWUDI017,100
DRL37_CHUKWUDI018,100
DRL37_CHUKWUDI027,100
DRL37_CHUKWUDI035,100
DRL37_CHUKWUDI045,100
DRL37_CHUKWUDI049,100
DRL47_CHUKWUDI027,100
DRL47_CHUKWUDI045,100
DRL59_CHUKWUDI019,100
DRL59_CHUKWUDI035,100
DRM11_CHUKWUDI013,100
DRM11_CHUKWUDI018,100
DRM11_CHUKWUDI046,100
DRM23_CHUKWUDI013,100
DRM37_CHUKWUDI010,100
DRM37_CHUKWUDI013,100
DRM47_CHUKWUDI010,100
DRM48_CHUKWUDI027,100
DRM48_CHUKWUDI045,100
DRM48_CHUKWUDI046,100
DRM48_CHUKWUDI049,100
DRM49_CHUKWUDI017,100
DRM49_CHUKWUDI035,100
DRM49_CHUKWUDI045,100
DRM49_CHUKWUDI049,100
DRN35_CHUKWUDI018,100
DRN35_CHUKWUDI035,100
DRN35_CHUKWUDI046,100
DRN35_CHUKWUDI049,100
DRN36_CHUKWUDI019,100
DRN36_CHUKWUDI027,100
DRN36_CHUKWUDI035,100
DRN36_CHUKWUDI045,100
DRN37_CHUKWUDI013,100
DRN47_CHUKWUDI010,100
DRN47_CHUKWUDI013,100
DRN59_CHUKWUDI017,100
DRN59_CHUKWUDI027,100
DRN59_CHUKWUDI045,100
DRN59_CHUKWUDI049,100
DRO35_CHUKWUDI045,100
DRO47_CHUKWUDI035,100
DRO59_CHUKWUDI017,100
DRO59_CHUKWUDI019,100
DRO59_CHUKWUDI045,100
DRO59_CHUKWUDI049,100
DRP35_CHUKWUDI027,100
DRP35_CHUKWUDI045,100
DRP47_CHUKWUDI013,100
DRP47_CHUKWUDI046,100
DRP47_CHUKWUDI049,100
DRQ35_CHUKWUDI027,100
DRQ35_CHUKWUDI035,100
DRQ35_CHUKWUDI045,100
DRY23_CHUKWUDI017,100
DRY23_CHUKWUDI019,100
DRY23_CHUKWUDI027,100
DRY23_CHUKWUDI035,100
DRY23_CHUKWUDI046,100
DRY23_CHUKWUDI049,100
DRZ11_CHUKWUDI027,100
DRZ11_CHUKWUDI045,100
DRZ24_CHUKWUDI027,100
DRZ24_CHUKWUDI045,100
FDA01_CHUKWUDI017,100
FDA01_CHUKWUDI018,100
FDA01_CHUKWUDI027,100
FDA01_CHUKWUDI035,100
FDA01_CHUKWUDI045,100
FDA01_CHUKWUDI046,100
FDA04_CHUKWUDI013,100
FDA04_CHUKWUDI018,100
FDA04_CHUKWUDI035,100
FDA04_CHUKWUDI046,100
FDA04_CHUKWUDI049,100
FDA07_CHUKWUDI027,100
FDA07_CHUKWUDI035,100
FDA07_CHUKWUDI045,100
FDA10_CHUKWUDI027,100
FDA10_CHUKWUDI035,100
FDA11_CHUKWUDI017,100
FDA11_CHUKWUDI018,100
FDA11_CHUKWUDI027,100
FDA11_CHUKWUDI045,100
FDA13_CHUKWUDI017,100
FDA13_CHUKWUDI018,100
FDA13_CHUKWUDI019,100
FDA13_CHUKWUDI027,100
FDA13_CHUKWUDI035,100
FDA13_CHUKWUDI045,100
FDA13_CHUKWUDI049,100
FDA15_CHUKWUDI010,100
FDA15_CHUKWUDI013,100
FDA15_CHUKWUDI018,100
FDA15_CHUKWUDI049,100
FDA16_CHUKWUDI018,100
FDA16_CHUKWUDI046,100
FDA20_CHUKWUDI013,100
FDA21_CHUKWUDI013,100
FDA23_CHUKWUDI017,100
FDA23_CHUKWUDI027,100
FDA23_CHUKWUDI035,100
FDA25_CHUKWUDI017,100
FDA25_CHUKWUDI018,100
FDA25_CHUKWUDI035,100
FDA25_CHUKWUDI045,100
FDA26_CHUKWUDI013,100
FDA26_CHUKWUDI018,100
FDA27_CHUKWUDI018,100
FDA27_CHUKWUDI046,100
FDA27_CHUKWUDI049,100
FDA28_CHUKWUDI027,100
FDA32_CHUKWUDI010,100
FDA32_CHUKWUDI018,100
FDA32_CHUKWUDI046,100
FDA34_CHUKWUDI013,100
FDA35_CHUKWUDI027,100
FDA36_CHUKWUDI013,100
FDA37_CHUKWUDI035,100
FDA38_CHUKWUDI013,100
FDA38_CHUKWUDI018,100
FDA38_CHUKWUDI049,100
FDA39_CHUKWUDI017,100
FDA39_CHUKWUDI018,100
FDA39_CHUKWUDI027,100
FDA39_CHUKWUDI035,100
FDA39_CHUKWUDI046,100
FDA39_CHUKWUDI049,100
FDA40_CHUKWUDI017,100
FDA40_CHUKWUDI035,100
FDA40_CHUKWUDI046,100
FDA40_CHUKWUDI049,100
FDA43_CHUKWUDI010,100
FDA43_CHUKWUDI013,100
FDA44_CHUKWUDI017,100
FDA44_CHUKWUDI018,100
FDA44_CHUKWUDI027,100
FDA44_CHUKWUDI035,100
FDA44_CHUKWUDI045,100
FDA44_CHUKWUDI049,100
FDA45_CHUKWUDI013,100
FDA46_CHUKWUDI013,100
FDA48_CHUKWUDI046,100
FDA49_CHUKWUDI019,100
FDA49_CHUKWUDI027,100
FDA49_CHUKWUDI035,100
FDA49_CHUKWUDI046,100
FDA49_CHUKWUDI049,100
FDA50_CHUKWUDI017,100
FDA50_CHUKWUDI019,100
FDA50_CHUKWUDI027,100
FDA50_CHUKWUDI035,100
FDA51_CHUKWUDI027,100
FDA52_CHUKWUDI013,100
FDA55_CHUKWUDI013,100
FDA55_CHUKWUDI018,100
FDA56_CHUKWUDI027,100
FDA56_CHUKWUDI045,100
FDA57_CHUKWUDI027,100
FDA57_CHUKWUDI045,100
FDA58_CHUKWUDI013,100
FDA58_CHUKWUDI046,100
FDB02_CHUKWUDI013,100
FDB03_CHUKWUDI013,100
FDB03_CHUKWUDI018,100
FDB03_CHUKWUDI046,100
FDB03_CHUKWUDI049,100
FDB04_CHUKWUDI017,100
FDB04_CHUKWUDI019,100
FDB04_CHUKWUDI027,100
FDB04_CHUKWUDI035,100
FDB04_CHUKWUDI045,100
FDB04_CHUKWUDI046,100
FDB05_CHUKWUDI046,100
FDB05_CHUKWUDI049,100
FDB10_CHUKWUDI018,100
FDB10_CHUKWUDI049,100
FDB11_CHUKWUDI013,100
FDB12_CHUKWUDI035,100
FDB14_CHUKWUDI018,100
FDB14_CHUKWUDI019,100
FDB14_CHUKWUDI027,100
FDB14_CHUKWUDI035,100
FDB14_CHUKWUDI045,100
FDB15_CHUKWUDI010,100
FDB15_CHUKWUDI013,100
FDB15_CHUKWUDI018,100
FDB15_CHUKWUDI035,100
FDB15_CHUKWUDI046,100
FDB15_CHUKWUDI049,100
FDB16_CHUKWUDI035,100
FDB16_CHUKWUDI045,100
FDB16_CHUKWUDI046,100
FDB16_CHUKWUDI049,100
FDB17_CHUKWUDI010,100
FDB17_CHUKWUDI013,100
FDB20_CHUKWUDI017,100
FDB20_CHUKWUDI035,100
FDB20_CHUKWUDI045,100
FDB20_CHUKWUDI049,100
FDB21_CHUKWUDI018,100
FDB23_CHUKWUDI013,100
FDB23_CHUKWUDI018,100
FDB26_CHUKWUDI017,100
FDB26_CHUKWUDI027,100
FDB26_CHUKWUDI035,100
FDB26_CHUKWUDI045,100
FDB26_CHUKWUDI046,100
FDB27_CHUKWUDI010,100
FDB27_CHUKWUDI046,100
FDB28_CHUKWUDI010,100
FDB28_CHUKWUDI013,100
FDB29_CHUKWUDI035,100
FDB29_CHUKWUDI045,100
FDB32_CHUKWUDI017,100
FDB32_CHUKWUDI018,100
FDB32_CHUKWUDI019,100
FDB32_CHUKWUDI027,100
FDB32_CHUKWUDI035,100
FDB34_CHUKWUDI017,100
FDB34_CHUKWUDI018,100
FDB34_CHUKWUDI027,100
FDB34_CHUKWUDI035,100
FDB34_CHUKWUDI045,100
FDB34_CHUKWUDI049,100
FDB35_CHUKWUDI017,100
FDB35_CHUKWUDI018,100
FDB35_CHUKWUDI019,100
FDB35_CHUKWUDI045,100
FDB35_CHUKWUDI046,100
FDB36_CHUKWUDI027,100
FDB37_CHUKWUDI013,100
FDB37_CHUKWUDI046,100
FDB37_CHUKWUDI049,100
FDB39_CHUKWUDI017,100
FDB39_CHUKWUDI019,100
FDB39_CHUKWUDI035,100
FDB39_CHUKWUDI045,100
FDB39_CHUKWUDI049,100
FDB41_CHUKWUDI018,100
FDB41_CHUKWUDI019,100
FDB41_CHUKWUDI035,100
FDB41_CHUKWUDI045,100
FDB41_CHUKWUDI046,100
FDB44_CHUKWUDI013,100
FDB44_CHUKWUDI046,100
FDB45_CHUKWUDI019,100
FDB45_CHUKWUDI045,100
FDB47_CHUKWUDI013,100
FDB49_CHUKWUDI018,100
FDB49_CHUKWUDI019,100
FDB49_CHUKWUDI045,100
FDB50_CHUKWUDI017,100
FDB50_CHUKWUDI018,100
FDB50_CHUKWUDI045,100
FDB50_CHUKWUDI046,100
FDB50_CHUKWUDI049,100
FDB51_CHUKWUDI017,100
FDB51_CHUKWUDI018,100
FDB51_CHUKWUDI035,100
FDB51_CHUKWUDI045,100
FDB51_CHUKWUDI046,100
FDB52_CHUKWUDI013,100
FDB52_CHUKWUDI018,100
FDB52_CHUKWUDI049,100
FDB56_CHUKWUDI013,100
FDB57_CHUKWUDI013,100
FDB57_CHUKWUDI046,100
FDB59_CHUKWUDI046,100
FDB60_CHUKWUDI010,100
FDB60_CHUKWUDI013,100
FDC02_CHUKWUDI010,100
FDC02_CHUKWUDI013,100
FDC02_CHUKWUDI018,100
FDC02_CHUKWUDI046,100
FDC03_CHUKWUDI013,100
FDC04_CHUKWUDI018,100
FDC04_CHUKWUDI049,100
FDC08_CHUKWUDI010,100
FDC08_CHUKWUDI013,100
FDC08_CHUKWUDI046,100
FDC08_CHUKWUDI049,100
FDC09_CHUKWUDI018,100
FDC09_CHUKWUDI045,100
FDC10_CHUKWUDI027,100
FDC10_CHUKWUDI035,100
FDC11_CHUKWUDI018,100
FDC11_CHUKWUDI027,100
FDC11_CHUKWUDI046,100
FDC14_CHUKWUDI017,100
FDC14_CHUKWUDI018,100
FDC14_CHUKWUDI019,100
FDC14_CHUKWUDI027,100
FDC14_CHUKWUDI046,100
FDC14_CHUKWUDI049,100
FDC16_CHUKWUDI017,100
FDC16_CHUKWUDI018,100
FDC16_CHUKWUDI027,100
FDC16_CHUKWUDI035,100
FDC16_CHUKWUDI045,100
FDC16_CHUKWUDI046,100
FDC16_CHUKWUDI049,100
FDC17_CHUKWUDI013,100
FDC17_CHUKWUDI046,100
FDC20_CHUKWUDI017,100
FDC20_CHUKWUDI018,100
FDC20_CHUKWUDI019,100
FDC20_CHUKWUDI035,100
FDC20_CHUKWUDI045,100
FDC20_CHUKWUDI046,100
FDC21_CHUKWUDI017,100
FDC21_CHUKWUDI019,100
FDC22_CHUKWUDI013,100
FDC26_CHUKWUDI035,100
FDC28_CHUKWUDI017,100
FDC28_CHUKWUDI019,100
FDC28_CHUKWUDI027,100
FDC28_CHUKWUDI045,100
FDC29_CHUKWUDI027,100
FDC29_CHUKWUDI035,100
FDC32_CHUKWUDI019,100
FDC32_CHUKWUDI027,100
FDC32_CHUKWUDI035,100
FDC32_CHUKWUDI045,100
FDC33_CHUKWUDI013,100
FDC33_CHUKWUDI046,100
FDC35_CHUKWUDI010,100
FDC35_CHUKWUDI013,100
FDC35_CHUKWUDI046,100
FDC37_CHUKWUDI019,100
FDC39_CHUKWUDI013,100
FDC40_CHUKWUDI017,100
FDC40_CHUKWUDI018,100
FDC40_CHUKWUDI035,100
FDC40_CHUKWUDI049,100
FDC41_CHUKWUDI017,100
FDC41_CHUKWUDI019,100
FDC41_CHUKWUDI027,100
FDC41_CHUKWUDI046,100
FDC41_CHUKWUDI049,100
FDC44_CHUKWUDI027,100
FDC44_CHUKWUDI045,100
FDC46_CHUKWUDI010,100
FDC46_CHUKWUDI013,100
FDC47_CHUKWUDI010,100
FDC47_CHUKWUDI013,100
FDC47_CHUKWUDI018,100
FDC48_CHUKWUDI017,100
FDC48_CHUKWUDI019,100
FDC48_CHUKWUDI035,100
FDC48_CHUKWUDI046,100
FDC50_CHUKWUDI017,100
FDC50_CHUKWUDI018,100
FDC50_CHUKWUDI027,100
FDC50_CHUKWUDI035,100
FDC50_CHUKWUDI045,100
FDC51_CHUKWUDI035,100
FDC51_CHUKWUDI045,100
FDC53_CHUKWUDI018,100
FDC53_CHUKWUDI027,100
FDC53_CHUKWUDI035,100
FDC56_CHUKWUDI035,100
FDC57_CHUKWUDI013,100
FDC58_CHUKWUDI017,100
FDC58_CHUKWUDI018,100
FDC58_CHUKWUDI027,100
FDC58_CHUKWUDI035,100
FDC59_CHUKWUDI017,100
FDC59_CHUKWUDI018,100
FDC59_CHUKWUDI027,100
FDC59_CHUKWUDI035,100
FDC59_CHUKWUDI045,100
FDC59_CHUKWUDI049,100
FDC60_CHUKWUDI017,100
FDC60_CHUKWUDI019,100
FDC60_CHUKWUDI046,100
FDD02_CHUKWUDI045,100
FDD03_CHUKWUDI013,100
FDD03_CHUKWUDI018,100
FDD03_CHUKWUDI046,100
FDD05_CHUKWUDI027,100
FDD05_CHUKWUDI045,100
FDD08_CHUKWUDI017,100
FDD08_CHUKWUDI018,100
FDD08_CHUKWUDI027,100
FDD08_CHUKWUDI035,100
FDD08_CHUKWUDI049,100
FDD09_CHUKWUDI013,100
FDD10_CHUKWUDI010,100
FDD10_CHUKWUDI013,100
FDD11_CHUKWUDI013,100
FDD11_CHUKWUDI018,100
FDD14_CHUKWUDI013,100
FDD16_CHUKWUDI019,100
FDD16_CHUKWUDI035,100
FDD16_CHUKWUDI046,100
FDD17_CHUKWUDI010,100
FDD17_CHUKWUDI013,100
FDD17_CHUKWUDI046,100
FDD17_CHUKWUDI049,100
FDD20_CHUKWUDI027,100
FDD21_CHUKWUDI035,100
FDD26_CHUKWUDI010,100
FDD28_CHUKWUDI017,100
FDD28_CHUKWUDI027,100
FDD28_CHUKWUDI046,100
FDD28_CHUKWUDI049,100
FDD29_CHUKWUDI010,100
FDD29_CHUKWUDI013,100
FDD29_CHUKWUDI018,100
FDD29_CHUKWUDI046,100
FDD29_CHUKWUDI049,100
FDD32_CHUKWUDI017,100
FDD32_CHUKWUDI018,100
FDD33_CHUKWUDI013,100
FDD33_CHUKWUDI018,100
FDD35_CHUKWUDI027,100
FDD35_CHUKWUDI035,100
FDD35_CHUKWUDI045,100
FDD36_CHUKWUDI027,100
FDD38_CHUKWUDI017,100
FDD38_CHUKWUDI019,100
FDD38_CHUKWUDI027,100
FDD38_CHUKWUDI035,100
FDD38_CHUKWUDI045,100
FDD39_CHUKWUDI013,100
FDD39_CHUKWUDI018,100
FDD39_CHUKWUDI046,100
FDD40_CHUKWUDI013,100
FDD41_CHUKWUDI017,100
FDD41_CHUKWUDI027,100
FDD41_CHUKWUDI045,100
FDD44_CHUKWUDI013,100
FDD44_CHUKWUDI018,100
FDD44_CHUKWUDI046,100
FDD44_CHUKWUDI049,100
FDD45_CHUKWUDI018,100
FDD45_CHUKWUDI035,100
FDD45_CHUKWUDI045,100
FDD47_CHUKWUDI013,100
FDD48_CHUKWUDI045,100
FDD50_CHUKWUDI013,100
FDD51_CHUKWUDI019,100
FDD51_CHUKWUDI027,100
FDD51_CHUKWUDI035,100
FDD51_CHUKWUDI045,100
FDD51_CHUKWUDI049,100
FDD52_CHUKWUDI027,100
FDD52_CHUKWUDI035,100
FDD53_CHUKWUDI017,100
FDD53_CHUKWUDI019,100
FDD53_CHUKWUDI027,100
FDD53_CHUKWUDI049,100
FDD57_CHUKWUDI017,100
FDD57_CHUKWUDI027,100
FDD57_CHUKWUDI035,100
FDD58_CHUKWUDI018,100
FDD58_CHUKWUDI019,100
FDD58_CHUKWUDI035,100
FDD58_CHUKWUDI045,100
FDD59_CHUKWUDI017,100
FDD59_CHUKWUDI027,100
FDD59_CHUKWUDI045,100
FDD59_CHUKWUDI046,100
FDE02_CHUKWUDI017,100
FDE02_CHUKWUDI019,100
FDE02_CHUKWUDI027,100
FDE04_CHUKWUDI010,100
FDE04_CHUKWUDI013,100
FDE09_CHUKWUDI019,100
FDE09_CHUKWUDI027,100
FDE09_CHUKWUDI045,100
FDE10_CHUKWUDI027,100
FDE11_CHUKWUDI010,100
FDE11_CHUKWUDI013,100
FDE14_CHUKWUDI018,100
FDE14_CHUKWUDI035,100
FDE14_CHUKWUDI045,100
FDE16_CHUKWUDI010,100
FDE20_CHUKWUDI013,100
FDE21_CHUKWUDI027,100
FDE21_CHUKWUDI045,100
FDE23_CHUKWUDI017,100
FDE23_CHUKWUDI018,100
FDE23_CHUKWUDI035,100
FDE23_CHUKWUDI045,100
FDE23_CHUKWUDI046,100
FDE28_CHUKWUDI010,100
FDE28_CHUKWUDI013,100
FDE28_CHUKWUDI049,100
FDE29_CHUKWUDI018,100
FDE29_CHUKWUDI027,100
FDE29_CHUKWUDI045,100
FDE29_CHUKWUDI046,100
FDE29_CHUKWUDI049,100
FDE32_CHUKWUDI017,100
FDE32_CHUKWUDI018,100
FDE32_CHUKWUDI027,100
FDE32_CHUKWUDI035,100
FDE32_CHUKWUDI046,100
FDE33_CHUKWUDI017,100
FDE33_CHUKWUDI019,100
FDE33_CHUKWUDI027,100
FDE33_CHUKWUDI045,100
FDE33_CHUKWUDI049,100
FDE34_CHUKWUDI010,100
FDE35_CHUKWUDI027,100
FDE35_CHUKWUDI045,100
FDE35_CHUKWUDI049,100
FDE39_CHUKWUDI035,100
FDE39_CHUKWUDI045,100
FDE40_CHUKWUDI017,100
FDE40_CHUKWUDI018,100
FDE40_CHUKWUDI019,100
FDE40_CHUKWUDI027,100
FDE40_CHUKWUDI045,100
FDE41_CHUKWUDI017,100
FDE41_CHUKWUDI019,100
FDE41_CHUKWUDI035,100
FDE41_CHUKWUDI045,100
FDE41_CHUKWUDI046,100
FDE41_CHUKWUDI049,100
FDE44_CHUKWUDI017,100
FDE44_CHUKWUDI035,100
FDE44_CHUKWUDI045,100
FDE44_CHUKWUDI046,100
FDE45_CHUKWUDI013,100
FDE51_CHUKWUDI017,100
FDE51_CHUKWUDI019,100
FDE51_CHUKWUDI027,100
FDE51_CHUKWUDI035,100
FDE51_CHUKWUDI046,100
FDE52_CHUKWUDI027,100
FDE53_CHUKWUDI017,100
FDE53_CHUKWUDI027,100
FDE53_CHUKWUDI045,100
FDE56_CHUKWUDI017,100
FDE56_CHUKWUDI019,100
FDE56_CHUKWUDI027,100
FDE56_CHUKWUDI035,100
FDE57_CHUKWUDI027,100
FDE58_CHUKWUDI027,100
FDE59_CHUKWUDI017,100
